#SampleID	Date	Pooled	Family	GenusSpecies	SampleType	SampleIDcopy
NZ031	2017	Euplectellidae	Euplectellidae	Amphidiscella n. sp. 1	Sponge	NZ-031
NZ032	2017	Euplectellidae	Euplectellidae	Amphidiscella n. sp. 1	Sponge	NZ-032
NZ033	2017	Euplectellidae	Euplectellidae	Amphidiscella n. sp. 1	Sponge	NZ-033
NZ034	2017	Euplectellidae	Euplectellidae	Amphidiscella n. sp. 2	Sponge	NZ-034
NZ035	2017	Euplectellidae	Euplectellidae	Bolosominae n. gen. 2	Sponge	NZ-035
NZ037	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-037	Sponge	NZ-037
NZ038	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-038	Sponge	NZ-038
NZ0261	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-026_1	Sponge	NZ-026_1
NZ040	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-040	Sponge	NZ-040
NZ041	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-041	Sponge	NZ-041
NZ042	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-042	Sponge	NZ-042
NZ043	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-043	Sponge	NZ-043
NZ045	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-045	Sponge	NZ-045
NZ046	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-046	Sponge	NZ-046
NZ047	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-047	Sponge	NZ-047
NZ048	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-048	Sponge	NZ-048
NZ049	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-049	Sponge	NZ-049
NZ050	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-050	Sponge	NZ-050
NZ062	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-062	Sponge	NZ-062
NZ065	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-065	Sponge	NZ-065
NZ083	2017	Aulocalycidae	Aulocalycidae	Rhabdodictyum n. sp.	Sponge	NZ-083
NZ84	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-84	Sponge	NZ-84
NZ85	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-85	Sponge	NZ-85
NZ120	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-120	Sponge	NZ-120
NZ121	2017	Euplectellidae	Euplectellidae	Bolosoma sp.	Sponge	NZ-121
NZ122	2017	Euplectellidae	Euplectellidae	Regadrella sp. 2	Sponge	NZ-122
NZ123	2017	Euplectellidae	Euplectellidae	Regadrella sp. 2	Sponge	NZ-123
NZ124	2017	Euplectellidae	Euplectellidae	Dictyaulus n. sp.	Sponge	NZ-124
NZ125	2017	Euplectellidae	Euplectellidae	Bolosominae n. gen. 3 sp. 1	Sponge	NZ-125
NZ128	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-128	Sponge	NZ-128
NZ129	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-129	Sponge	NZ-129
NZ130	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-130	Sponge	NZ-130
NZ133	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-133	Sponge	NZ-133
NZ135	2017	Pheronematidae	Pheronematidae	Pheronema sp.	Sponge	NZ-135
NZ136	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-136	Sponge	NZ-136
NZ137	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-137	Sponge	NZ-137
NZ138	2017	Pheronematidae	Pheronematidae	Pheronema sp.	Sponge	NZ-138
NZ153	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-153	Sponge	NZ-153
NZ158	2017	Leucopsacidae	Leucopsacidae	Leucopsacus distantus	Sponge	NZ-158
NZ159	2017	Rossellidae	Rossellidae	Bathydorus sp. 1	Sponge	NZ-159
NZ160	2017	Rossellidae	Rossellidae	Bathydorus sp. 2	Sponge	NZ-160
NZ161	2017	unclassified sponge	unclassified sponge	unclassified Sponge NZ-161	Sponge	NZ-161
NZ162	2017	Euplectellidae	Euplectellidae	Regadrella n. sp. 1	Sponge	NZ-162
NZ163	2017	Euplectellidae	Euplectellidae	Regadrella n. sp. 1	Sponge	NZ-163
NZ164	2017	Euplectellidae	Euplectellidae	Regadrella n. sp. 1	Sponge	NZ-164
